id,durationinseconds,recordeddate,responseid,consent,religion,religion_do,imm_1,imm_2,leaver,outcome_control,outcome_treat,fl_5_do,basics_do,treatment,missing,outcome,support2,id2,session_id,age,countryofbirth,currentcountryofresidence,currentukareaofresidence,employmentstatus,ethnicitysimplified,genderidentity,highesteducationlevelcompleted,householdsize,nationality,personalincomegbp,politicalaffiliationuk,relationshipmaritalstatus,religiousaffiliation,sex,sexualorientation,ukgeneralelection2019,brexit,gender,queer,trans,ideology,ed,degree,region,voterecall,income,race,civilstat,relig,student,nonwhite,agecat,imm1mean,immbelow,imm3,fourarm,religmed,support
39,39,11/11/2021 12:18,R_6PaiEus1Z4Ym74d,1,0,5|4|3|2|1|0|9999,5,7,1,0,,ControlText,imm|religion|leaver,0,0,0,Supports LGBT+ education,19,618d66f9483d09ad29d7f719,24,United Kingdom,United Kingdom,"East Midlands, England (Derbyshire and Nottinghamshire, Leicestershire, Rutland and Northamptonshire, Lincolnshire)",Full-Time,White,Female,Undergraduate degree (BA/BSc/other),2,United Kingdom,"Â£30,000 - Â£39,999",Left,In a relationship,"Non Religious (e.g. Agnostic, Atheist, No Religion)",Female,heterosexual,Labour Party,Remain,Woman,Heterosexual,0,Left,Undergraduate degree (BA/BSc/other),1,"East Midlands, England (Derbyshire and Nottinghamshire, Leicestershire, Rutland and Northamptonshire, Lincolnshire)",Labour,3,White,Relationship,Non-religious,0,0,18-24,6.081356,1,1,Anti-Immigration+Control,0,1
614,95,11/11/2021 12:23,R_2zd3EWmyrC6U5iL,1,0,0|1|2|3|4|5|9999,10,10,0,,0,Treatment,imm|leaver|religion,1,0,0,Supports LGBT+ education,20,618d671af26c52c436dd1065,21,United Kingdom,United Kingdom,"East Midlands, England (Derbyshire and Nottinghamshire, Leicestershire, Rutland and Northamptonshire, Lincolnshire)",Full-Time,Asian,Female,Undergraduate degree (BA/BSc/other),2,United Kingdom,"Â£10,000 - Â£19,999",Centre,Single,Hinduism,Female,heterosexual,Labour Party,Rather not say,Woman,Heterosexual,0,Centre,Undergraduate degree (BA/BSc/other),1,"East Midlands, England (Derbyshire and Nottinghamshire, Leicestershire, Rutland and Northamptonshire, Lincolnshire)",Labour,1,Asian,Single,Other,0,1,18-24,6.081356,0,2,Pro-immigration+Treatment,0,1
1080,178,11/11/2021 12:27,R_2fJ0WTjJZIczY4t,1,1,5|4|3|2|1|0|9999,8,5,0,,0,Treatment,religion|imm|leaver,1,0,0,Supports LGBT+ education,21,618d67e27a13d931f3811727,22,United Kingdom,United Kingdom,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Full-Time,White,Female,Undergraduate degree (BA/BSc/other),3,United Kingdom,"Less than Â£10,000 ",Left,Single,"Non Religious (e.g. Agnostic, Atheist, No Religion)",Female,heterosexual,Labour Party,I was not eligible to vote,Woman,Heterosexual,0,Left,Undergraduate degree (BA/BSc/other),1,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Labour,0,White,Single,Non-religious,0,0,18-24,6.081356,0,2,Pro-immigration+Treatment,0,1
1177,268,11/11/2021 12:31,R_2PorAr4uCYnYt9m,1,2,0|1|2|3|4|5|9999,3,5,0,10,,ControlText,leaver|religion|imm,0,0,10,Opposes LGBT+ education,22,618d6850ff045abfb74ee5ee,24,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Full-Time,White,Female,Undergraduate degree (BA/BSc/other),2,United Kingdom,"Â£20,000 - Â£29,999",N/A,In a relationship,"Non Religious (e.g. Agnostic, Atheist, No Religion)",Female,heterosexual,Labour Party,Remain,Woman,Heterosexual,0,Prefer not to say,Undergraduate degree (BA/BSc/other),1,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Labour,2,White,Relationship,Non-religious,0,0,18-24,6.081356,1,0,Anti-Immigration+Control,0,0
777,110,11/11/2021 3:33,R_3FWMY5xWu8AtbBR,1,0,0|1|2|3|4|5|9999,8,8,0,,0,Treatment,leaver|religion|imm,1,0,0,Supports LGBT+ education,23,618d68697ee3beb85385e23a,22,United Kingdom,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Unemployed (and job seeking),Asian,Female,Undergraduate degree (BA/BSc/other),4,United Kingdom,Rather not say,Right,Single,Islam,Female,heterosexual,Labour Party,I was not eligible to vote,Woman,Heterosexual,0,Right,Undergraduate degree (BA/BSc/other),1,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Labour,1.6435921,Asian,Single,Muslim,1,1,18-24,6.081356,0,2,Pro-immigration+Treatment,0,1
378,74,11/11/2021 3:54,R_1FM5Zd5LL62Abxy,1,0,5|4|3|2|1|0|9999,9,10,0,0,,ControlText,imm|religion|leaver,0,0,0,Supports LGBT+ education,24,618d6858745ff11ee8b32c2f,21,United Kingdom,United Kingdom,Scotland,Unemployed (and job seeking),White,Female,Undergraduate degree (BA/BSc/other),4,United Kingdom,"Less than Â£10,000 ",Left,In a relationship,Do Not Wish to Answer,Female,asexual,Labour Party,I was not eligible to vote,Woman,Not heterosexual,0,Left,Undergraduate degree (BA/BSc/other),1,Scotland,Labour,0,White,Relationship,Prefer not to say,1,0,18-24,6.081356,0,2,Pro-Immigration+Control,0,1
1112,193,11/11/2021 3:59,R_1K3XUeRwCv46dSC,1,1,0|1|2|3|4|5|9999,3,3,1,,0,Treatment,imm|religion|leaver,1,0,0,Supports LGBT+ education,25,618d6972673dc6bc01ee3054,24,United Kingdom,United Kingdom,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)",Full-Time,White,Female,Graduate degree (MA/MSc/MPhil/other),4,United Kingdom,"Less than Â£10,000 ",Left,Single,Do Not Wish to Answer,Female,asexual,Labour Party,Remain,Woman,Not heterosexual,0,Left,Graduate degree (MA/MSc/MPhil/other),1,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)",Labour,0,White,Single,Prefer not to say,0,0,18-24,6.081356,1,0,Anti-immigration+Treatment,0,1
523,87,11/11/2021 4:12,R_27Ex1HuVOovI8tC,1,0,5|4|3|2|1|0|9999,8,8,0,3,,ControlText,religion|imm|leaver,0,0,3,Supports LGBT+ education,26,618d6b12b2f68a93d89adb84,22,Bulgaria,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Unemployed (and job seeking),White,Female,Undergraduate degree (BA/BSc/other),3,United Kingdom,"Less than Â£10,000 ",Left,Single,"Non Religious (e.g. Agnostic, Atheist, No Religion)",Female,heterosexual,Green Party,I was not eligible to vote,Woman,Heterosexual,0,Left,Undergraduate degree (BA/BSc/other),1,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Greens,0,White,Single,Non-religious,0,0,18-24,6.081356,0,2,Pro-Immigration+Control,0,1
156,55,11/11/2021 4:13,R_2xWzWn9ZI1za0qT,1,0,0|1|2|3|4|5|9999,10,10,0,,0,Treatment,leaver|religion|imm,1,0,0,Supports LGBT+ education,27,618d6b700b5275551d3a7906,20,United Kingdom,United Kingdom,"East Midlands, England (Derbyshire and Nottinghamshire, Leicestershire, Rutland and Northamptonshire, Lincolnshire)",Part-Time,White,Female,Undergraduate degree (BA/BSc/other),3,United Kingdom,"Less than Â£10,000 ",Centre,In a relationship,"Non Religious (e.g. Agnostic, Atheist, No Religion)",Female,bisexual,I did not vote,I was not eligible to vote,Woman,Not heterosexual,0,Centre,Undergraduate degree (BA/BSc/other),1,"East Midlands, England (Derbyshire and Nottinghamshire, Leicestershire, Rutland and Northamptonshire, Lincolnshire)",Prefer not to say,0,White,Relationship,Non-religious,1,0,18-24,6.081356,0,2,Pro-immigration+Treatment,0,1
1076,176,11/11/2021 4:16,R_2e2pcYeW9Gq8kHc,1,1,0|1|2|3|4|5|9999,10,5,0,0,,ControlText,religion|imm|leaver,0,0,0,Supports LGBT+ education,28,618d6bb5536b0128eca97ad3,22,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,White,Female,Undergraduate degree (BA/BSc/other),4,United Kingdom,"Â£10,000 - Â£19,999",N/A,Single,"Non Religious (e.g. Agnostic, Atheist, No Religion)",Female,heterosexual,I did not vote,Leave,Woman,Heterosexual,0,Prefer not to say,Undergraduate degree (BA/BSc/other),1,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Prefer not to say,1,White,Single,Non-religious,1,0,18-24,6.081356,0,2,Pro-Immigration+Control,0,1
147,54,11/11/2021 4:20,R_2YxfT73b7RBbUDb,1,0,5|4|3|2|1|0|9999,10,10,0,,6,Treatment,imm|leaver|religion,1,0,6,Opposes LGBT+ education,29,618d6c4fc3dd528281d6f05d,20,United Kingdom,United Kingdom,"East Midlands, England (Derbyshire and Nottinghamshire, Leicestershire, Rutland and Northamptonshire, Lincolnshire)",Unemployed (and job seeking),White,Female,Undergraduate degree (BA/BSc/other),4,United Kingdom,"Less than Â£10,000 ",Left,Single,"Non Religious (e.g. Agnostic, Atheist, No Religion)",Female,bisexual,Liberal Democrats,I was not eligible to vote,Woman,Not heterosexual,0,Left,Undergraduate degree (BA/BSc/other),1,"East Midlands, England (Derbyshire and Nottinghamshire, Leicestershire, Rutland and Northamptonshire, Lincolnshire)",Other,0,White,Single,Non-religious,1,0,18-24,6.081356,0,2,Pro-immigration+Treatment,0,0
909,127,11/11/2021 4:20,R_3EtGhug7Tch8SZy,1,0,5|4|3|2|1|0|9999,3,5,0,10,,ControlText,imm|leaver|religion,0,0,10,Opposes LGBT+ education,30,618d6d56d41139b6cffde77e,23,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,White,Female,Graduate degree (MA/MSc/MPhil/other),2,United Kingdom,"Â£10,000 - Â£19,999",Left,Single,"Non Religious (e.g. Agnostic, Atheist, No Religion)",Female,bisexual,Labour Party,I was not eligible to vote,Woman,Not heterosexual,0,Left,Graduate degree (MA/MSc/MPhil/other),1,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Labour,1,White,Single,Non-religious,1,0,18-24,6.081356,1,0,Anti-Immigration+Control,0,0
705,104,11/11/2021 4:22,R_DqtLt4yfsop4CJ3,1,2,5|4|3|2|1|0|9999,5,5,0,10,,ControlText,leaver|imm|religion,0,0,10,Opposes LGBT+ education,31,618d6df2cad57df9c30f3ce4,23,United Kingdom,United Kingdom,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)",Full-Time,White,Female,Graduate degree (MA/MSc/MPhil/other),2,United Kingdom,"Â£20,000 - Â£29,999",N/A,In a relationship,"Non Religious (e.g. Agnostic, Atheist, No Religion)",Female,heterosexual,Labour Party,Remain,Woman,Heterosexual,0,Prefer not to say,Graduate degree (MA/MSc/MPhil/other),1,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)",Labour,2,White,Relationship,Non-religious,0,0,18-24,6.081356,1,1,Anti-Immigration+Control,0,0
673,101,11/11/2021 4:25,R_3ewMO4fFXceGdmc,1,1,5|4|3|2|1|0|9999,7,7,1,,10,Treatment,imm|leaver|religion,1,0,10,Opposes LGBT+ education,32,618d6e8af3ae10eaff32a9f5,22,United Kingdom,United Kingdom,"London, England ",Full-Time,Other,Female,Undergraduate degree (BA/BSc/other),1,United Kingdom,"Less than Â£10,000 ",Left,In a relationship,Zorastrianism,Female,heterosexual,Labour Party,Remain,Woman,Heterosexual,0,Left,Undergraduate degree (BA/BSc/other),1,"London, England ",Labour,0,Other,Relationship,Other,0,1,18-24,6.081356,0,2,Pro-immigration+Treatment,0,0
439,80,11/11/2021 4:32,R_3fTSA6FSCYyIpt5,1,1,0|1|2|3|4|5|9999,10,10,0,0,,ControlText,religion|leaver|imm,0,0,0,Supports LGBT+ education,33,618d99d7a79228b0cd27b336,21,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Part-Time,White,Female,High school diploma/A-levels,,United Kingdom,Rather not say,Left,Single,"Non Religious (e.g. Agnostic, Atheist, No Religion)",Female,heterosexual,Labour Party,I was not eligible to vote,Woman,Heterosexual,0,Left,High school diploma/A-levels,0,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Labour,1.6435921,White,Single,Non-religious,1,0,18-24,6.081356,0,2,Pro-Immigration+Control,0,1
89,48,11/11/2021 4:33,R_1hK1kVslS1YX4tf,1,0,0|1|2|3|4|5|9999,10,10,0,,0,Treatment,leaver|imm|religion,1,0,0,Supports LGBT+ education,34,618d9ec350f72a0678434a3d,30,United Kingdom,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Due to start a new job within the next month,White,Female,High school diploma/A-levels,2,United Kingdom,"Â£20,000 - Â£29,999",Left,Single,"Non Religious (e.g. Agnostic, Atheist, No Religion)",Female,heterosexual,Labour Party,Remain,Woman,Heterosexual,0,Left,High school diploma/A-levels,0,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Labour,2,White,Single,Non-religious,0,0,25-34,6.081356,0,2,Pro-immigration+Treatment,0,1
